Grand Isle,Lake Champlain,,,,,,,,,,,3205,7.5
Grand Isle,Lake Champlain,,,,,,,,,,,1705,7.4
Grand Isle,Lake Champlain,,,,,,,,,,,1705,7.4
Grand Isle,Lake Champlain,,,,,,,6000,7.87,,,,
Grand Isle,Lake Champlain,,,,,,,6000,6.95,,,,
Charlotte,Lake Champlain,,,,,,,,,,,6957,7.4
Charlotte,Lake Champlain,,,,,,,,,,,1043,7.43
Colchester,Lake Champlain,,,,,,,5000,6.95,,,,
Colchester,Lake Champlain,,,,,,,5000,7.87,,,,
Winooski,Lake Champlain,,,,,,,5000,7.99,,,,
Winooski,Lake Champlain,,,,,,,5000,6.74,,,,
Milton,Lake Champlain,,,,,,,,,,,6770,7.13
Milton,Lake Champlain,,,,,,,,,,,6410,7.52
Milton,Lake Champlain,,,,,,,,,,,3410,7.39
Milton,Lake Champlain,,,,,,,,,,,3410,7.39
Shelburne,Lake Champlain,,,,,,,1500,6.95,,,,
Shelburne,Lake Champlain,,,,,,,1500,7.87,,,,
Ferrisburgh,Lake Champlain,,,,,,,1225,7.99,,,,
Ferrisburgh,Lake Champlain,,,,,,,6000,7.99,,,,
Georgia,Lake Champlain,,,,,,,2644,7.87,,,,
Georgia,Lake Champlain,,,,,,,1080,6.95,,,,
Georgia,Lake Champlain,,,,,,,1420,6.74,,,,
Grand Isle,Lake Champlain,,,,,,,,,,,2243,7.5
Grand Isle,Lake Champlain,,,,,,,,,,,1194,7.39
Grand Isle,Lake Champlain,,,,,,,,,,,2369,7.13
Grand Isle,Lake Champlain,,,,,,,,,,,1194,7.39
Ferrisburgh,Lake Champlain,,,,,,,3000,7.99,,,,
South Hero,Lake Champlain,,,,,,,,,,,2369,7.13
South Hero,Lake Champlain,,,,,,,,,,,1194,7.48
South Hero,Lake Champlain,,,,,,,,,,,2243,7.52
South Hero,Lake Champlain,,,,,,,,,,,1194,7.48
Ferrisburgh,Lake Champlain,,,,,,,,,,,3368,7.39
Ferrisburgh,Lake Champlain,,,,,,,,,,,3632,7.48
Ferrisburgh,Lake Champlain,,,,,,,,,,,726,7.48
Ferrisburgh,Lake Champlain,,,,,,,,,,,3740,7.48
Ferrisburgh,Lake Champlain,,,,,,,,,,,7260,7.48
Winooski,Lake Champlain,,,,,,,,,,,7500,7.65
Winooski,Lake Champlain,,,,,,,,,,,0,0
Colchester,Lake Champlain,,,,,,,,,,,2370,7.65
Milton,Lake Champlain,,,,,,,,,,,2216,7.68
Milton,Lake Champlain,,,,,,,,,,,1284,7.71
Milton,Lake Champlain,,,,,,,,,,,1403,7.52
Milton,Lake Champlain,,,,,,,,,,,2096,7.71
Saint Albans,Lake Champlain,,,,,,,,,,,7700,7.71
North Hero,Lake Champlain,,,,,,,,,,,272,7.13
North Hero,Lake Champlain,,,,,,,,,,,2097,7.68
North Hero,Lake Champlain,,,,,,,,,,,1194,7.71
North Hero,Lake Champlain,,,,,,,,,,,2243,7.52
North Hero,Lake Champlain,,,,,,,,,,,1194,7.71
Shelburne,Lake Champlain,,,,,,,,,,,4872,7.75
Charlotte,Lake Champlain,,,,,,,,,,,5920,7.75
Burlington,Lake Champlain,,,5425,7.37,,,,,,,,
Burlington,Lake Champlain,,,5425,7.37,,,,,,,,
Burlington,Lake Champlain,,,7090,7.37,,,,,,,,
Burlington,Lake Champlain,,,7090,7.37,,,,,,,,
Colchester,Lake Champlain,,,,,,,,,3400,8.8,,
Colchester,Lake Champlain,,,,,,,,,3400,8.8,,
Colchester,Lake Champlain,,,,,,,,,3400,8.8,,
Burlington,Lake Champlain,,,,,,,,,3400,8.8,,
Burlington,Lake Champlain,,,,,,,,,900,8.8,,
Burlington,Lake Champlain,,,,,,,,,3400,8.8,,
Ferrisburgh,Lake Champlain,,,3400,7.42,,,,,,,,
Ferrisburgh,Lake Champlain,,,1602,7.37,,,,,,,,
North Hero,Lake Champlain,,,,,,,,,4400,8.71,,
Saint Albans,Lake Champlain,,,,,,,,,4400,8.71,,
Milton,Lake Champlain,,,,,,,,,4400,8.71,,
Grand Isle,Lake Champlain,,,,,,,,,3983,8.71,,
Grand Isle,Lake Champlain,,,,,,,,,423,8.64,,
Ferrisburgh,Lake Champlain,,,,,,,,,3850,8.64,,
Ferrisburgh,Lake Champlain,,,,,,,,,3850,8.64,,
South Hero,Lake Champlain,,,,,,,,,4400,8.64,,
Grand Isle,Lake Champlain,,,,,,,,,4400,8.64,,
Grand Isle,Lake Champlain,,,,,,,,,1651,8.64,,
Grand Isle,Lake Champlain,,,7080,7.42,,,,,,,,
Grand Isle,Lake Champlain,,,7080,7.42,,,,,,,,
Charlotte,Lake Champlain,,,5605,7.42,,,,,,,,
Charlotte,Lake Champlain,,,7080,7.42,,,,,,,,
Grand Isle,Lake Champlain,,,157,7.42,,,,,,,,
Ferrisburgh,Lake Champlain,,,,,,,7103,6.74,,,,
Leicester,Lake Dunmore,,,,,450,10.4,,,,,,
Salisbury,Lake Dunmore,,,,,450,10.4,,,,,,
Leicester,Lake Dunmore,,,505,7.27,,,,,,,,
Salisbury,Lake Dunmore,,,505,7.27,,,,,,,,
Greensboro,Lake Elligo,,,,,1000,10.2,,,,,,
Fairlee,Lake Fairlee,,,,,900,10.2,,,,,,
Fairlee,Lake Fairlee,,,,,,,,,1500,8,,
Newport,Lake Memphremagog,,,,,,,,,,,10000,7.1
Newport,Lake Memphremagog,,,,,,,,,,,20000,7.1
Bennington,Lake Paran,,,,,125,15.8,,,,,,
Shaftsbury,Lake Paran,,,,,125,15.8,,,,,,
Bennington,Lake Paran,,,,,250,10.9,,,,,,
Shaftsbury,Lake Paran,,,,,250,10.9,,,,,,
Bennington,Lake Paran,,,,,125,16,,,,,,
Shaftsbury,Lake Paran,,,,,125,16,,,,,,
Wilmington,Lake Raponda,,,,,600,15.8,,,,,,
Wilmington,Lake Raponda,,,,,100,15.8,,,,,,
Ludlow,Lake Rescue,,,,,,,,,600,9,,
Ludlow,Lake Rescue,,,,,500,15.8,,,,,,
Ludlow,Lake Rescue,,,,,900,10,,,,,,
Ludlow,Lake Rescue,,,100,8,,,,,,,,
Shaftsbury,Lake Shaftsbury,,,,,300,15.8,,,,,,
Poultney,Lake St Catherine,,,,,,,,,5000,9,,
Poultney,Lake St Catherine,,,,,670,10.6,,,,,,
Westmore,Lake Willoughby,,,,,,,,,,,1000,7.1
Fairfax,Lamoille River,,,,,,,,,400,14.1,,
Fairfax,Lamoille River,,,,,,,,,400,14.3,,
Morristown,Lamoille River,,,,,150,10.5,,,,,,
Hyde Park,Lamoille River,,,,,150,10.5,,,,,,
Morristown,Lamoille River,,,,,250,10.5,,,,,,
Hyde Park,Lamoille River,,,,,250,10.5,,,,,,
Cambridge,Lamoille River,,,,,500,10.5,,,,,,
Johnson,Lamoille River,,,,,500,10.5,,,,,,
Johnson,Lamoille River,,,,,800,10.5,,,,,,
Johnson,Lamoille River,,,,,1000,10.5,,,,,,
Belvidere,Lamoille River North Branch,,,,,,,,,400,8.9,,
Cambridge,Lamoille River North Branch,,,,,,,,,700,8.9,,
Waterville,Lamoille River North Branch,,,,,,,,,700,8.9,,
Groton,Levi Pond,100,9.1,,,,,,,,,,
Starksboro,Lewis Creek,700,9.1,,,,,,,,,,
Hartland,Lulls Brook,200,9.1,,,,,,,,,,
Hardwick,Mackville Pond,,,,,200,10,,,,,,
Warren,Mad River,300,9.7,,,,,,,,,,
 Waitsfield,Mad River,300,9.7,,,,,,,,,,
Marshfield,Marshfield Reservoir,,,,,1200,10,,,,,,
Marshfield,Marshfield Reservoir,,,,,,,,,500,8,,
Peacham,Martin's Pond,800,9.1,,,,,,,,,,
Barton,May Pond,1000,9.6,,,,,,,,,,
Royalton,McIntosh Pond,,,,,300,15.8,,,,,,
Royalton,McIntosh Pond,,,,,500,10,,,,,,
Royalton,McIntosh Pond,700,9.1,,,,,,,,,,
Ripton,Middlebury River Upper,500,9.1,,,,,,,,,,
West Windsor,Mill Brook,100,9.1,,,,,,,,,,
Windsor,Mill Brook,100,9.1,,,,,,,,,,
Windsor,Mill Pond,,,,,300,16.5,,,,,,
Shrewsbury,Mill River,252,9,,,,,,,,,,
Mount Holly,Mill River,252,9,,,,,,,,,,
Shrewsbury,Mill River Mid,,,,,550,12.1,,,,,,
Strafford,Miller Pond,,,,,300,16.5,,,,,,
Strafford,Miller Pond,,,,,400,16.5,,,,,,
Strafford,Miller Pond,,,,,400,16.5,,,,,,
Strafford,Miller Pond,800,9.6,,,,,,,,,,
Lyndon,Millers Run,50,9.6,,,,,,,,,,
Sheffield,Millers Run,50,9.6,,,,,,,,,,
Lyndon,Millers Run,,,,,770,10.5,,,,,,
Calais,Mirror Lake,,,,,700,10.2,,,,,,
Enosburg,Mississquoi River,,,,,500,16,,,,,,
Enosburg,Mississquoi River,,,,,500,16,,,,,,
Calais,Nelson Pond,,,,,,,,,150,8,,
 Woodbury,Nelson Pond,,,,,,,,,150,8,,
Calais,Nelson Pond,,,,,350,10.2,,,,,,
 Woodbury,Nelson Pond,,,,,350,10.2,,,,,,
Brandon,Neshobe River,502,9,,,,,,,,,,
New Haven,New Haven River Lower,,,,,750,10.1,,,,,,
Bristol,New Haven River Lower,,,,,750,10.1,,,,,,
New Haven,New Haven River Lower,,,,,,,,,2000,9,,
Lincoln,New Haven River Upper,300,9.1,,,,,,,,,,
Newark,Newark Pond,,,,,1440,10.5,,,,,,
Woodbury,Nichols Pond,,,,,1000,10,,,,,,
Bristol,Notch Brook,300,9.3,,,,,,,,,,
Strafford,Ompompanoosuc River West Branch,400,9.1,,,,,,,,,,
Bridgewater,Ottauquechee River,,,,,900,10.1,,,,,,
Woodstock,Ottauquechee River,,,,,900,10.1,,,,,,
Wallingford,Otter Creek,,,,,750,12.1,,,,,,
Danby,Otter Creek,,,,,,,,,125,15.1,,
Mount Tabor,Otter Creek,,,,,,,,,125,15.1,,
