Woodford,Bennington,MASTER,2400,0,0,0,0,0,0,0,0,0,0,0
Plymouth,5056,MASTER,0,0,200,0,3690,0,0,0,550,0,0,0
Bethel,5032,MASTER,400,0,0,0,0,0,0,0,0,0,0,0
Bennington,5201,MASTER,1650,0,0,0,500,0,0,0,200,0,0,0
Westmore,Barton,MASTER,0,0,0,0,900,0,0,0,0,0,1000,0
Bristol,5443,MASTER,901,0,0,0,750,0,0,0,0,0,0,0
Shaftsbury,5262,MASTER,1150,0,0,0,800,0,0,0,0,0,0,0
Hubbardton,Castleton,MASTER,0,0,0,0,800,0,0,0,0,0,0,0
Coventry,5825,MASTER,0,0,0,0,0,0,4600,0,0,0,0,0
Cavendish,5142,MASTER,0,0,0,0,2925,0,0,0,250,0,0,0
Weathersfield,5151,MASTER,0,0,0,0,1260,0,0,0,250,0,0,0
Craftsbury,5826,MASTER,0,0,0,0,0,0,7000,0,300,0,0,0
Irasburg,5845,MASTER,0,0,0,0,0,0,0,0,300,0,0,0
Warren,5674,MASTER,700,0,0,0,0,0,0,0,0,0,0,0
Jeffersonville,5464,MASTER,600,0,0,0,0,0,0,0,0,0,0,0
Jericho,5465,MASTER,900,0,0,0,0,0,0,0,0,0,0,0
Underhill,5489,MASTER,900,0,0,0,0,0,0,0,0,0,0,0
Manchester,5255,MASTER,800,0,0,0,0,0,0,0,0,0,0,0
Belvidere,5442,MASTER,100,0,0,0,0,0,0,0,400,0,0,0
West Rutland,5777,MASTER,626,0,0,0,0,0,0,0,0,0,0,0
Ira,West Rutland,MASTER,200,0,0,0,0,0,0,0,0,0,0,0
Clarendon,5759,MASTER,516,0,0,0,0,0,0,0,1000,0,0,0
Brighton,5846,MASTER,300,0,0,0,1500,0,0,0,1500,0,0,0
Charleston,5872,MASTER,0,0,0,0,1000,0,0,0,0,0,23023,0
Derby,5829,MASTER,0,0,0,0,0,0,0,0,0,0,23023,0
Shrewsbury,5738,MASTER,1829,0,303,0,550,0,0,0,500,0,0,0
Killington,5751,MASTER,1500,0,0,0,1500,0,0,0,0,0,0,0
Rutland,5701,MASTER,0,0,0,0,1500,0,0,0,0,0,0,0
Chittenden,5737,MASTER,0,0,0,0,250,0,0,0,0,0,0,0
Woodbury,5681,MASTER,0,0,0,0,3000,0,0,0,900,0,0,0
Averill,5901,MASTER,0,0,0,0,0,0,0,0,600,0,0,0
Hyde Park,5655,MASTER,650,0,0,0,400,0,0,0,650,0,0,0
Eden,5652,MASTER,500,0,0,0,0,0,0,0,650,0,0,0
Castleton,5735,MASTER,0,0,0,0,1225,0,0,0,5000,0,0,0
Fair Haven,5743,MASTER,0,0,0,0,1225,0,0,0,0,0,0,0
Goshen,Brandon,MASTER,1000,0,0,0,0,0,0,0,0,0,0,0
Wilmington,5363,MASTER,0,0,500,0,1150,0,0,0,1850,0,0,0
Whitingham,5361,MASTER,0,0,500,0,450,0,0,0,3050,0,0,0
Barnet,5821,MASTER,300,0,2000,0,1975,0,0,0,0,0,0,0
Holland,5830,MASTER,0,0,0,0,1200,0,0,0,1100,0,0,0
Pownal,5261,MASTER,0,0,0,0,0,0,0,0,600,0,0,0
Stamford,5352,MASTER,0,0,0,0,0,0,0,0,1900,0,0,0
Huntington,5462,MASTER,1200,0,0,0,0,0,0,0,0,0,0,0
Danville,5828,MASTER,300,0,0,0,935,0,0,0,1100,0,0,0
Bolton,Waterbury,MASTER,500,0,0,0,0,0,0,0,0,0,0,0
Reading,5062,MASTER,0,0,0,0,2175,0,0,0,0,0,0,0
Swanton,5488,MASTER,0,0,0,0,0,0,0,0,0,0,20000,0
Grand Isle,5458,MASTER,0,0,14317,0,0,0,12000,0,10457,0,17000,0
Charlotte,5445,MASTER,0,0,12685,0,0,0,0,0,0,0,13920,0
Colchester,5446,MASTER,0,0,0,0,0,0,10000,0,10200,0,2370,0
Winooski,5404,MASTER,0,0,0,0,0,0,10000,0,0,0,7500,0
Milton,5468,MASTER,0,0,0,0,0,0,0,0,4400,0,26999,0
Shelburne,5482,MASTER,0,0,0,0,0,0,3000,0,0,0,4872,0
Ferrisburgh,5456,MASTER,0,0,5002,0,0,0,17328,0,7700,0,18726,0
Georgia,Milton,MASTER,0,0,0,0,0,0,5144,0,0,0,0,0
South Hero,5486,MASTER,0,0,0,0,0,0,0,0,4400,0,7000,0
Saint Albans,5478,MASTER,0,0,0,0,0,0,0,0,4400,0,7700,0
North Hero,5474,MASTER,0,0,0,0,0,0,0,0,4400,0,7000,0
Burlington,5408,MASTER,0,0,25030,0,0,0,0,0,7700,0,0,0
Leicester,Brandon,MASTER,500,0,505,0,450,0,0,0,0,0,0,0
Salisbury,5769,MASTER,0,0,505,0,450,0,0,0,0,0,0,0
Greensboro,5841,MASTER,0,0,0,0,1000,0,0,0,0,0,0,0
Fairlee,5045,MASTER,0,0,0,0,900,0,0,0,1500,0,0,0
Newport,5855,MASTER,0,0,0,0,0,0,0,0,0,0,30000,0
Ludlow,5149,MASTER,0,0,100,0,1400,0,0,0,600,0,0,0
Poultney,5764,MASTER,1008,0,0,0,670,0,0,0,5000,0,0,0
Fairfax,5454,MASTER,0,0,0,0,0,0,0,0,800,0,0,0
Morristown,5661,MASTER,0,0,0,0,400,0,0,0,0,0,0,0
Cambridge,5444,MASTER,1000,0,0,0,500,0,0,0,700,0,0,0
Johnson,5656,MASTER,0,0,0,0,2300,0,0,0,0,0,0,0
Waterville,5492,MASTER,0,0,0,0,0,0,0,0,700,0,0,0
Groton,5046,MASTER,350,0,0,0,0,0,0,0,0,0,0,0
Starksboro,5487,MASTER,700,0,0,0,0,0,0,0,0,0,0,0
Hartland,5048,MASTER,200,0,0,0,0,0,0,0,0,0,0,0
Hardwick,5843,MASTER,0,0,0,0,200,0,0,0,0,0,0,0
Waitsfield,5673,MASTER,300,0,0,0,0,0,0,0,0,0,0,0
Marshfield,5658,MASTER,250,0,0,0,1200,0,0,0,500,0,0,0
Peacham,5862,MASTER,800,0,0,0,0,0,0,0,0,0,0,0
Barton,5822,MASTER,1000,0,0,0,0,0,0,0,0,0,0,0
Royalton,5068,MASTER,700,0,0,0,1900,0,0,0,0,0,0,0
Ripton,5766,MASTER,500,0,0,0,0,0,0,0,0,0,0,0
West Windsor,5089,MASTER,100,0,0,0,0,0,0,0,0,0,0,0
Windsor,5089,MASTER,100,0,0,0,300,0,0,0,0,0,0,0
Mount Holly,5758,MASTER,252,0,0,0,0,0,0,0,0,0,0,0
Strafford,5072,MASTER,1200,0,0,0,1100,0,0,0,0,0,0,0
Lyndon,5851,MASTER,150,0,0,0,935,0,0,0,150,0,0,0
Sheffield,5866,MASTER,50,0,0,0,0,0,0,0,0,0,0,0
Calais,5648,MASTER,0,0,0,0,1050,0,0,0,150,0,0,0
Enosburg,5450,MASTER,0,0,0,0,1000,0,0,0,0,0,0,0
 Woodbury,5681,MASTER,0,0,0,0,350,0,0,0,150,0,0,0
Brandon,5733,MASTER,502,0,0,0,0,0,0,0,0,0,0,0
New Haven,5472,MASTER,0,0,0,0,750,0,0,0,2000,0,0,0
Lincoln,Bristol,MASTER,300,0,0,0,0,0,0,0,0,0,0,0
Newark,Burke,MASTER,100,0,0,0,1440,0,0,0,0,0,0,0
Bridgewater,5034,MASTER,0,0,0,0,900,0,0,0,0,0,0,0
Woodstock,5091,MASTER,0,0,0,0,900,0,0,0,0,0,0,0
Wallingford,5773,MASTER,0,0,0,0,750,0,0,0,0,0,0,0
Danby,5739,MASTER,0,0,0,0,250,0,0,0,250,0,0,0
Mount Tabor,Danby,MASTER,0,0,0,0,250,0,0,0,250,0,0,0
Center Rutland,5736,MASTER,0,0,0,0,0,0,0,0,1500,0,0,0
Proctor,5765,MASTER,0,0,0,0,0,0,0,0,1000,0,0,0
Saint Johnsbury,5819,MASTER,0,0,0,0,600,0,0,0,625,0,0,0
Lyndon ,5851,MASTER,0,0,0,0,550,0,0,0,700,0,0,0
 Saint Johnsbury,5819,MASTER,0,0,0,0,550,0,0,0,700,0,0,0
Burke,5871,MASTER,200,0,0,0,165,0,0,0,150,0,0,0
Dorset,5251,MASTER,500,0,0,0,0,0,0,0,0,0,0,0
Duxbury,Waterbury,MASTER,500,0,0,0,500,0,0,0,175,0,0,0
