town,parent,water,bkt,bkt-length,lat,lat-length,rbt,rbt-length,stt,stt-length,bnt,bnt-length,las,las-length,total
Center Rutland,5736,MASTER,0,0,0,0,0,0,0,0,1500,0,0,0,1500
Charleston,Charleston,Clyde River,0,0,0,0,0,0,0,0,0,0,23023,0,
Charleston,Charleston,Echo Lake,0,0,0,0,1000,10,0,0,0,0,0,0,
Charleston,5872,MASTER,0,0,0,0,1000,0,0,0,0,0,23023,0,24023
Charlotte,Charlotte,Lake Champlain,0,0,12685,7.42,0,0,0,0,0,0,13920,7.55109842,
Charlotte,5445,MASTER,0,0,12685,0,0,0,0,0,0,0,13920,0,26605
Chelsea,Chelsea,White River First Branch,350,9.1,0,0,0,0,0,0,0,0,0,0,
Chelsea,5038,MASTER,350,0,0,0,0,0,0,0,0,0,0,0,350
Chester,5143,,,,,,,,,,,,,,
Chittenden,Chittenden,East Creek,0,0,0,0,250,12.1,0,0,0,0,0,0,
Chittenden,5737,MASTER,0,0,0,0,250,0,0,0,0,0,0,0,250
Clarendon,Clarendon,Clarendon River,516,9,0,0,0,0,0,0,0,0,0,0,
Clarendon,Clarendon,Cold River Lower,0,0,0,0,0,0,0,0,500,9,0,0,
Clarendon,Clarendon,Otter Creek,0,0,0,0,0,0,0,0,500,9.6,0,0,
Clarendon,5759,MASTER,516,0,0,0,0,0,0,0,1000,0,0,0,1516
Colchester,Colchester,Lake Champlain,0,0,0,0,0,0,10000,7.41,10200,8.8,2370,7.65,
Colchester,5446,MASTER,0,0,0,0,0,0,10000,0,10200,0,2370,0,22570
Concord,5824,,,,,,,,,,,,,,
Corinth,5039,,,,,,,,,,,,,,
Coventry,Coventry,Black River,0,0,0,0,0,0,4600,7.3,0,0,0,0,
Coventry,5825,MASTER,0,0,0,0,0,0,4600,0,0,0,0,0,4600
Craftsbury,Craftsbury,Black River,0,0,0,0,0,0,7000,0,300,8.9,0,0,
Craftsbury,5826,MASTER,0,0,0,0,0,0,7000,0,300,0,0,0,7300
Craftsbury Common,5827,,,,,,,,,,,,,,
Danby,Danby,Otter Creek,0,0,0,0,250,16,0,0,250,15.1,0,0,
Danby,5739,MASTER,0,0,0,0,500,0,0,0,500,0,0,0,1000
Danville,Danville,Joe's Brook,300,9.1,0,0,275,10.5,0,0,0,0,0,0,
Danville,Danville,Joe's Pond,0,0,0,0,660,10.5,0,0,1100,9,0,0,
Danville,5828,MASTER,300,0,0,0,935,0,0,0,1100,0,0,0,2335
Derby,Derby,Clyde River,0,0,0,0,0,0,0,0,0,0,23023,0,
Derby,5829,MASTER,0,0,0,0,0,0,0,0,0,0,23023,0,23023
Dorset,Dorset,Prentiss Pond,500,9.7,0,0,0,0,0,0,0,0,0,0,
Dorset,5251,MASTER,500,0,0,0,0,0,0,0,0,0,0,0,500
Duxbury,Waterbury,Ridley Brook,500,9.1,0,0,0,0,0,0,0,0,0,0,
Duxbury,Waterbury,Winooski River,0,0,0,0,500,16,0,0,175,17,0,0,
East Arlington,5252,,,,,,,,,,,,,,
East Barre,5649,,,,,,,,,,,,,,
East Berkshire,5447,,,,,,,,,,,,,,
East Burke,5832,,,,,,,,,,,,,,
East Calais,5650,,,,,,,,,,,,,,
East Charleston,5833,,,,,,,,,,,,,,
East Corinth,5040,,,,,,,,,,,,,,
East Dorset,5253,,,,,,,,,,,,,,
East Dover,5341,,,,,,,,,,,,,,
East Fairfield,5448,,,,,,,,,,,,,,
East Hardwick,5836,,,,,,,,,,,,,,
East Haven,5837,,,,,,,,,,,,,,
East Middlebury,5740,,,,,,,,,,,,,,
East Montpelier,5651,,,,,,,,,,,,,,
East Randolph,5041,,,,,,,,,,,,,,
East Thetford,5043,,,,,,,,,,,,,,
East Wallingford,5742,,,,,,,,,,,,,,
Eden,Eden,Gihon River,500,9,0,0,0,0,0,0,650,8.9,0,0,
Eden,5652,MASTER,500,0,0,0,0,0,0,0,650,0,0,0,1150
Eden Mills,5653,,,,,,,,,,,,,,
Enosburg,Enosburg,Mississquoi River,0,0,0,0,1000,16,0,0,0,0,0,0,
Enosburg,5450,MASTER,0,0,0,0,1000,0,0,0,0,0,0,0,1000
Essex Junction,5452,,,,,,,,,,,,,,
Fair Haven,Fair Haven,Glen Lake,0,0,0,0,1225,11.51020408,0,0,0,0,0,0,
Fair Haven,5743,MASTER,0,0,0,0,1225,0,0,0,0,0,0,0,1225
Fairfax,Fairfax,Lamoille River,0,0,0,0,0,0,0,0,800,14.2,0,0,
Fairfax,5454,MASTER,0,0,0,0,0,0,0,0,800,0,0,0,800
Fairfield,5455,,,,,,,,,,,,,,
Fairlee,Fairlee,Lake Fairlee,0,0,0,0,900,10.2,0,0,1500,8,0,0,
Fairlee,5045,MASTER,0,0,0,0,900,0,0,0,1500,0,0,0,2400
Ferrisburgh,Ferrisburgh,Lake Champlain,0,0,5002,7.403986405,0,0,17328,7.477606764,7700,8.64,18726,7.46381288,
Ferrisburgh,5456,MASTER,0,0,5002,0,0,0,17328,0,7700,0,18726,0,48756
Florence,5744,,,,,,,,,,,,,,
Forest Dale,5745,,,,,,,,,,,,,,
Franklin,5457,,,,,,,,,,,,,,
Gaysville,5746,,,,,,,,,,,,,,
Georgia,Milton,Lake Champlain,0,0,0,0,0,0,5144,7.364906687,0,0,0,0,
Gilman,5904,,,,,,,,,,,,,,
Glover,Glover,Shadow Lake,0,0,600,8,0,0,0,0,0,0,0,0,
Glover,5839,MASTER,0,0,600,0,0,0,0,0,0,0,0,0,600
Goshen,Brandon,Goshen Dam,1000,8.98,0,0,0,0,0,0,0,0,0,0,
Grafton,5146,,,,,,,,,,,,,,
Grand Isle,Grand Isle,Lake Champlain,0,0,14317,7.42,0,0,12000,7.41,10457,8.666662523,17000,7.339255294,
Grand Isle,5458,MASTER,0,0,14317,0,0,0,12000,0,10457,0,17000,0,53774
Graniteville,5654,,,,,,,,,,,,,,
Granville,5747,,,,,,,,,,,,,,
Greensboro,Greensboro,Lake Elligo,0,0,0,0,1000,10.2,0,0,0,0,0,0,
Greensboro,5841,MASTER,0,0,0,0,1000,0,0,0,0,0,0,0,1000
Greensboro Bend,5842,,,,,,,,,,,,,,
Groton,Groton,Levi Pond,100,9.1,0,0,0,0,0,0,0,0,0,0,
Groton,Groton,Wells River,250,9.6,0,0,0,0,0,0,0,0,0,0,
Groton,5046,MASTER,350,0,0,0,0,0,0,0,0,0,0,0,350
Guildhall,5905,,,,,,,,,,,,,,
Hancock,5748,,,,,,,,,,,,,,
Hardwick,Hardwick,Mackville Pond,0,0,0,0,200,10,0,0,0,0,0,0,
Hardwick,5843,MASTER,0,0,0,0,200,0,0,0,0,0,0,0,200
Hartford,Hartford,White River,0,0,0,0,2200,10.5,0,0,0,0,0,0,
Hartford,5047,MASTER,0,0,0,0,2200,0,0,0,0,0,0,0,2200
Hartland,Hartland,Lulls Brook,200,9.1,0,0,0,0,0,0,0,0,0,0,
Hartland,5048,MASTER,200,0,0,0,0,0,0,0,0,0,0,0,200
Highgate Center,5459,,,,,,,,,,,,,,
Hinesburg,5461,,,,,,,,,,,,,,
Holland,Holland,Holland Pond,0,0,0,0,1200,10,0,0,1100,9,0,0,
Holland,5830,MASTER,0,0,0,0,1200,0,0,0,1100,0,0,0,2300
Hubbardton,Castleton,Black Pond,0,0,0,0,800,11.675,0,0,0,0,0,0,
Huntington,Huntington,Huntington River,1200,9.38,0,0,0,0,0,0,0,0,0,0,
Huntington,5462,MASTER,1200,0,0,0,0,0,0,0,0,0,0,0,1200
Hyde Park,Hyde Park,Gihon River,500,9,0,0,0,0,0,0,650,8.9,0,0,
Hyde Park,Hyde Park,Lamoille River,0,0,0,0,400,10.5,0,0,0,0,0,0,
Hyde Park,Hyde Park,Zack Woods-Perch Ponds,150,9.1,0,0,0,0,0,0,0,0,0,0,
Hyde Park,5655,MASTER,650,0,0,0,400,0,0,0,650,0,0,0,1700
Ira,West Rutland,Castleton River,200,9,0,0,0,0,0,0,0,0,0,0,
Irasburg,Irasburg,Black River,0,0,0,0,0,0,0,0,300,8.9,0,0,
