Water,Town,Location,Species,Planned #,# Stocked,Age,Length,Date Stocked,County
Missisquoi River,Berkshire/Richford,,BNT,2800,,YR,,,Franklin
Missisquoi River,Troy/Westfield,,BNT,3000,,YR,,,Orleans
Missisquoi River East Branch,Lowell,,BKT,1800,,YR,,,Orleans
Mississquoi River,Enosburg,Confluence w/ Tyler Branch upstream to top of the dam in Enosburg,RBT,1000,500,2YR,16,5/3/13,Franklin
Mississquoi River,Enosburg,Confluence w/ Tyler Branch upstream to top of the dam in Enosburg,RBT,1000,500,2YR,16,5/16/13,Franklin
Moose River,St. Johnsbury,East St. Johnsbury Village to mouth,BKT,500,,YR,,,Caledonia
Moose River,Victory / Concord,Victory Hill Rd. Downstream to Concord Village,BKT,500,,YR,,,Essex
Moose River,East Haven/Victory,Radar Base Road to Damon's Crossing,BKT,500,,YR,,,Essex
Nelson Pond,"Calais, Woodbury",,LAT,300,,YR,,,Washington
Nelson Pond,"Calais, Woodbury",,BNT,300,300,YR,8,4/22/13,Washington
Nelson Pond,"Calais, Woodbury",,RBT,700,700,YR,10.2,4/22/13,Washington
Neshobe River,Brandon,Brandon Village to Forestdale,BKT,500,502,YR,9,5/7/13,Rutland
New Haven River Lower,New Haven/Bristol,Otter Creek to 1/2 mile above RT 116 Bridge on Bristol Flats,RBT,1500,1500,YR,10.1,5/2/13,Addison
New Haven River Lower,New Haven,Otter Creek to 1/2 mile above Rt 116 Brdge on Bristol Flats,BNT,2000,2000,YR,9,5/2/13,Addison
New Haven River Upper,Lincoln,Bartlett Falls upstream,BKT,500,300,YR,9.1,5/8/13,Addison
Newark Pond,Newark,,RBT,1600,1440,YR,10.5,5/29/13,Caledonia
Nichols Pond,Woodbury,,RBT,1000,1000,YR,10,5/16/13,Washington
Nichols Pond,Woodbury,,LAT,200,,YR,,,Washington
North River East Branch,Whitingham-Halifax,Bridge on Rt. 112 to Bridge above Randall Brook,BKT,300,,YR,,,Windham
Notch Brook,Bristol,New Haven River to Gilman Pond Tributary,BKT,300,300,YR,9.3,5/8/13,Addison
Notch Pond,Ferdinand,,BKT,1000,,FF,,,Essex
Nulhegan River,Ferdinand - Bloomfield,Intersection of VT-105 and Stone Dam Rd. downstream to VT-102,BKT,100,,YR,,,Essex
Nulhegan River,Ferdinand,Nulhegan Pond downstream to North Branch Nulhegan,BKT,100,,YR,,,Essex
Nulhegan River East Branch,Lewis/Bloomfield,,BKT,700,,YR,,,Essex
Ompompanoosuc River East Branch,Thetford,Tucker Hill covered bridge down to Union Village Dam,RBT,400,,YR,,,Orange
Ompompanoosuc River West Branch,Strafford,Strafford Village to Fire Sta in S. Strafford,BKT,400,400,YR,9.1,5/22/13,Orange
Osmore Pond,Peacham,,BKT,400,,YR,,,Caledonia
Ottauquechee River,Bridgewater-Woodstock,Rt 100A(Bridgewater Corners) to covered bridge in Taftsville,RBT,1800,1800,YR,10.1,5/7/13,Windsor
Otter Creek,Wallingford,Wallingford????,RBT,750,750,YR,12.1,5/8/13,Rutland
Otter Creek,Danby/Mt Tabor,Danby/MT Tabor WMA- Trophy Section,BNT,500,250,2YR,15.1,5/9/13,Rutland
Otter Creek,Danby/Mt Tabor,Danby/Mt Tabor WMA (Trophy Section),RBT,500,250,2YR,16,5/9/13,Rutland
Otter Creek,Center Rutland/Clarendon,Center Rutland to Clarendon,BNT,1000,1000,YR,9.6,5/22/13,Rutland
Otter Creek,Center Rutland/Proctor,Center Rutland to Proctor,BNT,2000,2000,YR,9.6,5/22/13,Rutland
Otter Creek,Danby/Mt Tabor,Danby/MT Tabor WMA- Trophy Section,BNT,500,250,2YR,15.1,4/25/13,Rutland
Otter Creek,Danby/Mt Tabor,Danby/Mt Tabor WMA (Trophy Section),RBT,500,250,2YR,16,4/25/13,Rutland
Otter Creek,Middlebury,"400 Upstream of Dam in Middlebury to Middlebury River, 100 below dam",RBT,500,,YR,,,Addison
Otter Creek,Middlebury,"400 Downstream of Middlebury Dam, 100 upstream",BNT,500,,YR,,,Addison
Paran Creek,Shaftsbury,,BKT,200,,YR,,,Bennington
Passumpsic River,St. Johnsbury,Arnolds Falls downstream to I-91 bridge,RBT,500,250,2YR,16,4/30/13,caledonia
Passumpsic River,St. Johnsbury,Arnolds Falls downstream to I-91 bridge,BNT,500,250,2YR,15.1,4/30/13,Caledonia
Passumpsic River,Lyndon / St. J,Confluence of east and west branch dowstream to Connecticut River,BNT,1400,1400,YR,9.3,5/20/13,Caledonia
Passumpsic River,Lyndon / St. J,Confluence of east and west branch dowstream to Connecticut River,RBT,1100,1100,YR,10.5,5/20/13,Caledonia
Passumpsic River,St. Johnsbury,Arnolds Falls downstream to I-91 bridge,BNT,500,250,2YR,15.1,5/14/13,Caledonia
Passumpsic River,St. Johnsbury,Arnolds Falls downstream to I-91 bridge,RBT,500,250,2YR,16,5/14/13,caledonia
Passumpsic River East Branch,Newark/Burke,Newark to E. Burke,BKT,200,200,YR,9.6,5/2/13,Caledonia
Passumpsic River East Branch,Burke/Lyndon,E. Burke Village to West Branch confluence,RBT,300,330,YR,10.5,5/20/13,Caledonia
Passumpsic River West Branch,Burke/Lyndon,W. Burke Village to mouth,BNT,200,300,YR,9.3,5/20/13,Caledonia
Passumpsic River West Branch,Burke/Lyndon,W. Burke Village to mouth,BKT,100,100,YR,9.6,5/2/13,Caledonia
Passumpsic River West Branch,Burke/Lyndon,W. Burke Village to mouth,BKT,100,100,YR,9.6,5/2/13,Caledonia
Paul Stream,Maidstone,Below Ferdinand Bog,BKT,1200,,YR,,,Essex
Paul Stream,Ferdinand,Above Ferdinand Bog,BKT,600,,YR,,,Essex
Peacham Pond,Peacham,,BNT,2500,,YR,,,Caledonia
Pidgeon Pond,Groton,,BKT,500,,FF,,,Caledonia
Poultney River,Poultney,,BKT,1000,1008,YR,9,5/16/13,Rutland
Prentiss Pond,Dorset,,BKT,500,500,YR,9.7,4/18/13,Bennington
Red Mill Pond,Woodford,,BKT,500,500,YR,8.7,5/1/13,Bennington
Ridley Brook,Duxbury,,BKT,500,500,YR,9.1,5/22/13,Washington
Rood Pond,"Williamstown,Brookfield",,BKT,1800,1800,YR,9,4/17/13,Orange
Sabin Pond,Woodbury,,RBT,1000,1000,YR,10,4/25/13,Washington
Sabin Pond,Woodbury,,BNT,500,500,YR,8.7,4/25/13,Washington
Seymour Lake,Morgan,,LAS,2000,2000,YR,7.1,4/11/13,Orleans
Seymour Lake,Morgan,,LAT,4000,,YR,,,Orleans
Seymour River,Cambridge,,BKT,700,700,YR,9.1,5/14/13,Lamoille
Shadow Lake,Glover,,LAT,600,600,YR,8,5/10/13,Orleans
Shadow Lake,Glover,,RBT,1000,,YR,,,Orleans
Shaftsbury Hollow Brook,Shaftsbury,,BKT,400,400,YR,0,5/13/13,Bennington
Sherman Reservoir,Whitingham,,BNT,1200,1200,YR,8,4/24/13,Windham
Silver Lake,Leicester,,BKT,500,500,YR,8.98,5/21/13,Addison
Silver Lake,Leicester,,RBT,500,,YR,,,Addison
Sleepers River,St. Johnsbury,Emerson Falls to Passumpsic River,RBT,100,100,YR,10.5,5/20/13,Caledonia
Sleepers River,St. Johnsbury,Emerson Falls to Passumpsic River,BNT,100,125,YR,9.3,5/20/13,Caledonia
Smith Pond,Pittsford,,BKT,900,258,YR,9,5/8/13,Rutland
Smith Pond,Pittsford,,BKT,900,400,YR,9.7,4/18/13,Rutland
Somerset Reservoir,Stratton-Somerset,,BKT,7500,,YR,,,Windham
South America Pond,Ferdinand,,BKT,1000,,FF,,,Essex
South Pond,Marlboro,,BNT,100,100,YR,9,5/1/13,Windham
South Pond,Marlboro,,RBT,1600,1600,YR,10,5/1/13,Windham
Spectacle Pond,Brighton,,RBT,500,500,YR,10,5/6/13,Essex
Spring Lake,Shrewsbury,,BKT,500,502,YR,9,5/10/13,Rutland
Spring Lake,Shrewsbury,,LAT,300,303,YR,8,5/10/13,Rutland
Stamford Stream,Woodford,,BKT,500,,YR,,,Bennington
Sterling Pond,Cambridge/Stowe,,BKT,600,600,YR,9.1,5/14/13,Lamoille
Stevens River,Barnet,I-91 downstream to mouth,RBT,100,100,YR,10.5,5/21/13,Caledonia
Stevens River,Barnet,West Barnet Village downstream to I-91,BKT,300,300,YR,9.6,5/1/13,Caledonia
Stoughton Pond,Weathersfield,,RBT,600,510,2YR,16,4/30/13,Windsor
Stratton Pond,Stratton,,BKT,9200,,SF,,,Windham
Sunset Lake,Brookfield,,RBT,600,,YR,,,Orange
Sunset Lake,Brookfield,,RBT,300,225,2YR,17.4,5/2/13,Orange
Sunset Lake,Brookfield,,BKT,800,800,YR,9.6,4/25/13,Orange
Sunset Lake,Benson,,RBT,1000,1000,YR,10.9,4/16/13,Rutland
Sunset Lake,Benson,,LAT,300,310,YR,7.27,4/26/13,Rutland
The Branch,Enosburg,,BKT,600,,YR,,,Franklin
Trout River,Berkshire/Montgomery,,BKT,1200,,YR,,,Franklin
Tyler Branch,Enosburg,,BKT,600,,YR,,,Franklin
Unknown Pond,Ferdinand,,BKT,500,,FF,,,Essex
Vail Pond,Sutton,,RBT,200,,YR,,,Caledonia
Vernon Hatchery Pond,Vernon,,BKT,700,700,YR,8.7,4/24/13,Windham
Vernon Hatchery Pond,Vernon,,BNT,100,100,YR,8,4/24/13,Windham
Waits River,Corinth-Bradford,E. Corinth General Store to Bradford Dam,RBT,1600,,YR,,,Orange
Wallace Pond,Canaan,,BNT,2000,2000,YR,8.9,4/23/13,Essex
Walloomsac Brook City Stream,Bennington,,BKT,500,,YR,,,Bennington
Walloomsac River,Bennington,Stock from Hunt St Ext. Bridge Downstream,BNT,500,200,YR,15.5,5/28/13,Bennington
Walloomsac River,Bennington,Downstream of Hunt St. Ext. Bridge,RBT,500,,YR,,,Bennington
Walloomsac River South Stream,Bennington,Stock above Beach St Bridge or Down from Hunt St. Ext Bridge,BKT,800,800,YR,0,5/13/13,Bennington
Waterbury Reservoir,Waterbury/Stowe,,BNT,2000,2000,YR,9,4/29/13,Washington
Waterbury Reservoir,Waterbury/Stowe,,RBT,1500,1500,YR,10,4/30/13,Washington
Wells River,Groton/Ryegate,Confluence with S. Branch downstream to S. Ryegate Village,BKT,500,500,YR,9.6,5/1/13,Caledonia
Wells River,Ryegate/Newbury,South Ryegate Village to mouth,RBT,800,,YR,,,Caledonia
West River,Londonderry,Londonderry Dam down to Route 100 bridge,BKT,200,,YR,,,Windham
West River,Jamaica,Cobb Brook down to above park swimming area,RBT,500,500,YR,10.5,5/30/13,Windham
Weston Mill Pond,Weston,Weston Mill Pond,BKT,300,,YR,,,Windsor
Wheeler Pond,Barton,,BKT,100,,YR,,,Orleans
Whipple Hollow Brook,West Rutland,,BKT,200,213,YR,9.69,4/26/13,Rutland
Whipple Hollow Brook,West Rutland,,BKT,200,213,YR,9.69,4/26/13,Rutland
White River,Stockbridge,Rt 100 bridge @ T. Greens down to Gaysville bridge,RBT,1700,1700,YR,10.5,5/14/13,Windsor
White River,"Royalton,Sharon,Hartford",Bethel Bridge; Fox Stand to turnout west of Hartford,RBT,4400,4400,YR,10.5,5/15/13,Windsor
White River First Branch,"Chelsea, Tunbridge",Chelsea Village to Tunbridge Fairgrounds,BKT,700,700,YR,9.1,5/22/13,Orange
White River First Branch,"Chelsea, Tunbridge",Chelsea Village to Tunbridge Fairgrounds,RBT,500,,YR,,,Orange
White River Third Branch,Randolph-Bethel,Randolph Sewage Treatment Plant to mouth,BNT,1000,,YR,,,Windsor
White River Third Branch,Roxbury-Randolph,Large pool above Roxbury RR trestle to Randolph STP,BKT,500,500,YR,9.1,5/13/13,Orange
White River Third Branch,Roxbury-Randolph,Large pool above Roxbury RR trestle to Randolph STP,BKT,500,500,YR,9.1,5/13/13,Orange
Winooski River,"Waterbury, Duxbury",Rt 2/100 bridge to RR bridge,BNT,350,350,2YR,17,5/7/13,Washington
Winooski River,"Marshfield,Plainfield",Confl. w/ Mollys Brook to Plainfield Dam,BKT,500,500,YR,9.1,5/9/13,Washington
Winooski River,"Waterbury, Duxbury",Rt 2/100 bridge to RR bridge,RBT,1000,500,2YR,16,5/7/13,Washington
Winooski River,"Waterbury, Duxbury",Rt 2/100 bridge to RR bridge,RBT,1000,500,2YR,16,5/22/13,Washington
Winooski River,"Montp., Berlin, Middlesex",Confl. w/ Dog River to confl. w/Mad River,BNT,900,,YR,,,Washington
Winooski River,Bolton/Richmond,"Preston Brook to Bridge St., Richmond",BNT,1800,,YR,,,Chittenden
Winooski River,"Plainfield, E. Montpelier",Plainfield Dam to E. Montpelier Dam,RBT,900,,YR,,,Washington
Winooski River,Duxbury/Bolton,Below Bolton Dam to Ridley Brook Mouth,BNT,500,,YR,,,Chittenden
Winooski River,Middlesex,Confl. w/ Mad River to Rt 2/100 bridge Waterbury,RBT,800,,YR,,,Washington
Winooski River,"Marshfield,Plainfield",Confl. w/ Mollys Brook to Plainfield Dam,RBT,700,,YR,,,Washington
Winooski River,"E. Montpelier, Momtpelier",E. Montpelier Dam to confl. w/Dog River,BNT,1500,,YR,,,Washington
Winooski River,Richmond/Jericho,"Bridge St., Richmond to Mill Brook",BNT,1000,,YR,,,Chittenden
Winooski River North Branch,Worcester,Rt 12 brdg N of Russ Pond Bk to Rt 12 brdg N of Hancock Bk,BKT,400,400,YR,9.1,5/9/13,Washington
Woodward Reservoir,Plymouth,,RBT,900,990,YR,10.5,5/21/13,Windsor
Woodward Reservoir,Plymouth,,BNT,500,550,YR,9,5/21/13,Windsor
Zack Woods-Perch Ponds,Hyde Park/Wolcott,,BKT,300,300,YR,9.1,5/15/13,Lamoille
