town,zipcode,fema,parent
Proctor,5765,49489.63,
Proctorsville,5153,109825.11,
Putney,,41499.89,Putney
Putney,5346,41499.89,TRUE
Quechee,5059,97416.22,
Randolph,,396227.15,Randolph
Randolph,5060,616062.5,TRUE
Randolph Center,5061,810.8,
Rawsonville,,0,South Londonderry
Reading,,193499.98,Reading
Reading,5062,219381.03,TRUE
Readsboro,5350,66840.51,
Richford,5476,59783.52,
Richmond,5477,198531.31,
Ripton,5766,5698.28,
Rochester,5767,362745.41,
Rockingham,,2841.54,Bellows Falls
Roxbury,,256424.95,Roxbury
Roxbury,5669,264873.99,TRUE
Royalton,,39230.95,Royalton
Rupert,5768,18106.13,
Rutland,,633174.01,Rutland
Rutland,5701,657085.26,TRUE
Ryegate,,0,Rutland
Saint Albans,5478,9637.46,
Saint Albans Bay,5481,,
Saint Johnsbury,5819,11687.63,
Salisbury,5769,5127.48,
Sandgate,,1901.48,Arlington
Saxtons River,5154,97015.71,
Searsburg,,5583.49,Wilmington
Shaftsbury,5262,13895.56,
Sharon,5065,530070.19,
Sheffield,5866,9241.52,
Shelburne,5482,784.71,
Sheldon,5483,,
Sheldon Springs,5485,,
Shoreham,5770,0,
Shrewsbury,,42528.72,Shrewsbury
Shrewsbury,5738,102955.63,TRUE
South Burlington,5403,413.75,
South Hero,5486,,
South Londonderry,,112681.21,South Londonderry
South Londonderry,5155,114083.5,TRUE
South Newfane,,243835.48,Newfane
South Pomfret,5067,31007.28,
South Reading,,25881.05,Reading
South Royalton,,391137.14,Royalton
South Royalton,5068,430368.09,TRUE
South Ryegate,5069,68847.4,
South Strafford,5070,45458.89,
South Windham,,0,Windham
South Woodstock,5071,8397.41,
Springfield,5156,18933.85,
Stamford,5352,8158.35,
Starksboro,5487,0,
Stockbridge,5772,537036.56,
Stowe,5672,20377.83,
Strafford,5072,30619.98,
Stratton,,872.1,West Wardsboro
Stratton Mountain,,1402.29,South Londonderry
Sudbury,,0,Brandon
Sunderland,,7708.95,Arlington
Sutton,5867,7757.08,
Swanton,5488,52.44,
Taftsville,5073,1536,
Thetford,5074,0,
Thetford Center,5075,49702.85,
Topsham,5076,6411.13,
Townshend,5353,51767.86,
Troy,5868,516.08,
Tunbridge,5077,18786.27,
Underhill,5489,6584.16,
Underhill Center,5490,204.5,
Vergennes,,1621.96,Vergennes
Vergennes,5491,2134.07,TRUE
Vernon,5354,23161,
Vershire,5079,80066.3,
W Berlin,,30200,Northfield
W Braintree,,7390.43,Roxbury
W Brattleboro,,2672.03,Brattleboro
Waitsfield,5673,163042.27,
Wallingford,5773,173764.04,
Wardsboro,5355,120308.67,
Warren,5674,121792.1,
Washington,5675,5358.65,
Waterbury,,2608373.19,Waterbury
Waterbury,5676,2666061.39,TRUE
Waterbury Center,5677,0,
Waterville,5492,,
Websterville,5678,0,
Wells,5774,5152.65,
Wells River,5081,3118.37,
West Arlington,,0,Arlington
West Berlin,,7051.81,Northfield
West Braintree,,1058.61,Roxbury
West Brattleboro,,31678.15,Brattleboro
West Bridgewater,,1536,Bridgewater
West Brookfield,,0,Randolph
West Burke,5871,3544.8,
West Charleston,5872,384.9,
West Danville,5873,4726.13,
West Dover,5356,55092.43,
West Dummerston,5357,4176.31,
West Fairlee,5083,41982.7,
West Glover,5875,,
West Halifax,5358,63023.76,
West Hartford,5084,389958.04,
West Haven,,2465.92,Fairhaven
West Marlboro,,0,Wilmington
West Pawlet,5775,31040.87,
West Rupert,5776,9789.02,
West Rutland,,106272.72,West Rutland
West Rutland,5777,107675.06,TRUE
West Topsham,5086,5445.05,
West Townshend,,8303.7,Windham
West Wardsboro,,33169.37,West Wardsboro
West Wardsboro,5360,34041.47,TRUE
West Windsor,5089,46903.37,
Westfield,5874,0,
Westford,5494,0,
Westminster,5158,55701.82,
Westminster Station,5159,4278,
Westminster W,,0,Putney
Weston,5161,14716.78,
White River Junction,5001,231591.76,
Whiting,5778,10228.46,
Whitingham,5361,87752.22,
Williamstown,5679,40397.46,
Williamsville,5362,41892.7,
Williston,5495,1896.94,
Wilmington,,373365.91,Wilmington
Wilmington,5363,378949.4,TRUE
Windham,,1822.16,Windham
Windham,5359,10125.86,TRUE
Windsor,5089,77248.78,
Winhall,,7354.88,Winhall
Winhall,5340,24894.96,TRUE
Winooski,5404,0,
Wolcott,5680,22436.85,
Woodbury,5681,2945.48,
Woodford,,99888.22,Bennington
Woodstock,5091,911605.61,
Worcester,5682,18305.78,
