Grand Isle,Grand Isle,Lake Champlain,0,0,14317,7.42,0,0,12000,7.41,10457,8.666662523,17000,7.339255294,
Charlotte,Charlotte,Lake Champlain,0,0,12685,7.42,0,0,0,0,0,0,13920,7.55109842,
Colchester,Colchester,Lake Champlain,0,0,0,0,0,0,10000,7.41,10200,8.8,2370,7.65,
Winooski,Winooski,Lake Champlain,0,0,0,0,0,0,10000,7.365,0,0,7500,7.65,
Milton,Milton,Lake Champlain,0,0,0,0,0,0,0,0,4400,8.71,26999,7.42628764,
Shelburne,Shelburne,Lake Champlain,0,0,0,0,0,0,3000,7.41,0,0,4872,7.75,
Ferrisburgh,Ferrisburgh,Lake Champlain,0,0,5002,7.403986405,0,0,17328,7.477606764,7700,8.64,18726,7.46381288,
Georgia,Milton,Lake Champlain,0,0,0,0,0,0,5144,7.364906687,0,0,0,0,
South Hero,South Hero,Lake Champlain,0,0,0,0,0,0,0,0,4400,8.64,7000,7.374367143,
Saint Albans,Saint Albans,Lake Champlain,0,0,0,0,0,0,0,0,4400,8.71,7700,7.71,
North Hero,North Hero,Lake Champlain,0,0,0,0,0,0,0,0,4400,8.71,7000,7.617594286,
Burlington,Burlington,Lake Champlain,0,0,25030,7.37,0,0,0,0,7700,8.8,0,0,
Leicester,Brandon,Lake Dunmore,0,0,505,7.27,450,10.4,0,0,0,0,0,0,
Salisbury,Salisbury,Lake Dunmore,0,0,505,7.27,450,10.4,0,0,0,0,0,0,
Greensboro,Greensboro,Lake Elligo,0,0,0,0,1000,10.2,0,0,0,0,0,0,
Fairlee,Fairlee,Lake Fairlee,0,0,0,0,900,10.2,0,0,1500,8,0,0,
Newport,Newport,Lake Memphremagog,0,0,0,0,0,0,0,0,0,0,30000,7.1,
Bennington,Bennington,Lake Paran,0,0,0,0,500,13.4,0,0,0,0,0,0,
Shaftsbury,Shaftsbury,Lake Paran,0,0,0,0,500,13.4,0,0,0,0,0,0,
Wilmington,Wilmington,Lake Raponda,0,0,0,0,700,15.8,0,0,0,0,0,0,
Ludlow,Ludlow,Lake Rescue,0,0,100,8,1400,12.07142857,0,0,600,9,0,0,
Shaftsbury,Shaftsbury,Lake Shaftsbury,0,0,0,0,300,15.8,0,0,0,0,0,0,
Poultney,Poultney,Lake St Catherine,0,0,0,0,670,10.6,0,0,5000,9,0,0,
Westmore,Barton,Lake Willoughby,0,0,0,0,0,0,0,0,0,0,1000,7.1,
Fairfax,Fairfax,Lamoille River,0,0,0,0,0,0,0,0,800,14.2,0,0,
Morristown,Morristown,Lamoille River,0,0,0,0,400,10.5,0,0,0,0,0,0,
Hyde Park,Hyde Park,Lamoille River,0,0,0,0,400,10.5,0,0,0,0,0,0,
Cambridge,Cambridge,Lamoille River,0,0,0,0,500,10.5,0,0,0,0,0,0,
Johnson,Johnson,Lamoille River,0,0,0,0,2300,10.5,0,0,0,0,0,0,
Belvidere,Belvidere,Lamoille River North Branch,0,0,0,0,0,0,0,0,400,8.9,0,0,
Cambridge,Cambridge,Lamoille River North Branch,0,0,0,0,0,0,0,0,700,8.9,0,0,
Waterville,Waterville,Lamoille River North Branch,0,0,0,0,0,0,0,0,700,8.9,0,0,
Groton,Groton,Levi Pond,100,9.1,0,0,0,0,0,0,0,0,0,0,
Starksboro,Starksboro,Lewis Creek,700,9.1,0,0,0,0,0,0,0,0,0,0,
Hartland,Hartland,Lulls Brook,200,9.1,0,0,0,0,0,0,0,0,0,0,
Hardwick,Hardwick,Mackville Pond,0,0,0,0,200,10,0,0,0,0,0,0,
Warren,Warren,Mad River,300,9.7,0,0,0,0,0,0,0,0,0,0,
Waitsfield,Waitsfield,Mad River,300,9.7,0,0,0,0,0,0,0,0,0,0,
Marshfield,Marshfield,Marshfield Reservoir,0,0,0,0,1200,10,0,0,500,8,0,0,
Peacham,Peacham,Martin's Pond,800,9.1,0,0,0,0,0,0,0,0,0,0,
Barton,Barton,May Pond,1000,9.6,0,0,0,0,0,0,0,0,0,0,
Royalton,Royalton,McIntosh Pond,700,9.1,0,0,800,12.175,0,0,0,0,0,0,
Ripton,Ripton,Middlebury River Upper,500,9.1,0,0,0,0,0,0,0,0,0,0,
West Windsor,West Windsor,Mill Brook,100,9.1,0,0,0,0,0,0,0,0,0,0,
Windsor,Windsor,Mill Brook,100,9.1,0,0,0,0,0,0,0,0,0,0,
Windsor,Windsor,Mill Pond,0,0,0,0,300,16.5,0,0,0,0,0,0,
Shrewsbury,Shrewsbury,Mill River,252,9,0,0,0,0,0,0,0,0,0,0,
Mount Holly,Mount Holly,Mill River,252,9,0,0,0,0,0,0,0,0,0,0,
Shrewsbury,Shrewsbury,Mill River Mid,0,0,0,0,550,12.1,0,0,0,0,0,0,
Strafford,Strafford,Miller Pond,800,9.6,0,0,1100,16.5,0,0,0,0,0,0,
Lyndon,Lyndon,Millers Run,50,9.6,0,0,770,10.5,0,0,0,0,0,0,
Sheffield,Sheffield,Millers Run,50,9.6,0,0,0,0,0,0,0,0,0,0,
Calais,Calais,Mirror Lake,0,0,0,0,700,10.2,0,0,0,0,0,0,
Enosburg,Enosburg,Mississquoi River,0,0,0,0,1000,16,0,0,0,0,0,0,
Calais,Calais,Nelson Pond,0,0,0,0,350,10.2,0,0,150,8,0,0,
 Woodbury, Woodbury,Nelson Pond,0,0,0,0,350,10.2,0,0,150,8,0,0,
Brandon,Brandon,Neshobe River,502,9,0,0,0,0,0,0,0,0,0,0,
New Haven,New Haven,New Haven River Lower,0,0,0,0,750,10.1,0,0,2000,9,0,0,
Bristol,Bristol,New Haven River Lower,0,0,0,0,750,10.1,0,0,0,0,0,0,
Lincoln,Bristol,New Haven River Upper,300,9.1,0,0,0,0,0,0,0,0,0,0,
Newark,Burke,Newark Pond,0,0,0,0,1440,10.5,0,0,0,0,0,0,
Woodbury,Woodbury,Nichols Pond,0,0,0,0,1000,10,0,0,0,0,0,0,
Bristol,Bristol,Notch Brook,300,9.3,0,0,0,0,0,0,0,0,0,0,
Strafford,Strafford,Ompompanoosuc River West Branch,400,9.1,0,0,0,0,0,0,0,0,0,0,
Bridgewater,Bridgewater,Ottauquechee River,0,0,0,0,900,10.1,0,0,0,0,0,0,
Woodstock,Woodstock,Ottauquechee River,0,0,0,0,900,10.1,0,0,0,0,0,0,
Wallingford,Wallingford,Otter Creek,0,0,0,0,750,12.1,0,0,0,0,0,0,
Danby,Danby,Otter Creek,0,0,0,0,250,16,0,0,250,15.1,0,0,
Mount Tabor,Danby,Otter Creek,0,0,0,0,250,16,0,0,250,15.1,0,0,
Center Rutland,Center Rutland,Otter Creek,0,0,0,0,0,0,0,0,1500,9.6,0,0,
Clarendon,Clarendon,Otter Creek,0,0,0,0,0,0,0,0,500,9.6,0,0,
Proctor,Proctor,Otter Creek,0,0,0,0,0,0,0,0,1000,9.6,0,0,
Saint Johnsbury,Saint Johnsbury,Passumpsic River,0,0,0,0,500,16,0,0,500,15.1,0,0,
Lyndon ,Lyndon ,Passumpsic River,0,0,0,0,550,10.5,0,0,700,9.3,0,0,
 Saint Johnsbury, Saint Johnsbury,Passumpsic River,0,0,0,0,550,10.5,0,0,700,9.3,0,0,
Newark,Burke,Passumpsic River East Branch,100,9.6,0,0,0,0,0,0,0,0,0,0,
Burke,Burke,Passumpsic River East Branch,100,9.6,0,0,165,10.5,0,0,0,0,0,0,
Lyndon,Lyndon,Passumpsic River East Branch,0,0,0,0,165,10.5,0,0,0,0,0,0,
Burke,Burke,Passumpsic River West Branch,100,9.6,0,0,0,0,0,0,150,9.3,0,0,
Lyndon,Lyndon,Passumpsic River West Branch,100,9.6,0,0,0,0,0,0,150,9.3,0,0,
Poultney,Poultney,Poultney River,1008,9,0,0,0,0,0,0,0,0,0,0,
Dorset,Dorset,Prentiss Pond,500,9.7,0,0,0,0,0,0,0,0,0,0,
Woodford,Bennington,Red Mill Pond,500,8.7,0,0,0,0,0,0,0,0,0,0,
Duxbury,Waterbury,Ridley Brook,500,9.1,0,0,0,0,0,0,0,0,0,0,
Williamstown,Williamstown,Rood Pond,900,9,0,0,0,0,0,0,0,0,0,0,
Brookfield,Brookfield,Rood Pond,900,9,0,0,0,0,0,0,0,0,0,0,
Woodbury,Woodbury,Sabin Pond,0,0,0,0,1000,10,0,0,500,8.7,0,0,
Morgan,Morgan,Seymour Lake,0,0,0,0,0,0,0,0,0,0,2000,7.1,
Cambridge,Cambridge,Seymour River,700,9.1,0,0,0,0,0,0,0,0,0,0,
Glover,Glover,Shadow Lake,0,0,600,8,0,0,0,0,0,0,0,0,
Shaftsbury,Shaftsbury,Shaftsbury Hollow Brook,400,0,0,0,0,0,0,0,0,0,0,0,
Whitingham,Whitingham,Sherman Reservoir,0,0,0,0,0,0,0,0,1200,8,0,0,
Leicester,Brandon,Silver Lake,500,8.98,0,0,0,0,0,0,0,0,0,0,
Saint Johnsbury,Saint Johnsbury,Sleepers River,0,0,0,0,100,10.5,0,0,125,9.3,0,0,
Pittsford,Pittsford,Smith Pond,658,9.425531915,0,0,0,0,0,0,0,0,0,0,
Marlboro,Marlboro,South Pond,0,0,0,0,1600,10,0,0,100,9,0,0,
Brighton,Brighton,Spectacle Pond,0,0,0,0,500,10,0,0,0,0,0,0,
Shrewsbury,Shrewsbury,Spring Lake,502,9,303,8,0,0,0,0,0,0,0,0,
Cambridge,Cambridge,Sterling Pond,300,9.1,0,0,0,0,0,0,0,0,0,0,
Stowe,Stowe,Sterling Pond,300,9.1,0,0,0,0,0,0,0,0,0,0,
Barnet,Barnet,Stevens River,300,9.6,0,0,100,10.5,0,0,0,0,0,0,
Weathersfield,Weathersfield,Stoughton Pond,0,0,0,0,510,16,0,0,0,0,0,0,
Brookfield,Brookfield,Sunset Lake,800,9.6,0,0,225,17.4,0,0,0,0,0,0,
Benson,Benson,Sunset Lake,0,0,310,7.27,1000,10.9,0,0,0,0,0,0,
Vernon,Vernon,Vernon Hatchery Pond,700,8.7,0,0,0,0,0,0,100,8,0,0,
Canaan,Canaan,Wallace Pond,0,0,0,0,0,0,0,0,2000,8.9,0,0,
Bennington,Bennington,Walloomsac River,0,0,0,0,0,0,0,0,200,15.5,0,0,
Bennington,Bennington,Walloomsac River South Stream,800,0,0,0,0,0,0,0,0,0,0,0,
Waterbury,Waterbury,Waterbury Reservoir,0,0,0,0,750,10,0,0,1000,9,0,0,
Stowe,Stowe,Waterbury Reservoir,0,0,0,0,750,10,0,0,1000,9,0,0,
Groton,Groton,Wells River,250,9.6,0,0,0,0,0,0,0,0,0,0,
Ryegate,Ryegate,Wells River,250,9.6,0,0,0,0,0,0,0,0,0,0,
Jamaica,Jamaica,West River,0,0,0,0,500,10.5,0,0,0,0,0,0,
West Rutland,West Rutland,Whipple Hollow Brook,426,9.69,0,0,0,0,0,0,0,0,0,0,
Stockbridge,Stockbridge,White River,0,0,0,0,1700,10.5,0,0,0,0,0,0,
Sharon,Sharon,White River,0,0,0,0,3300,10.5,0,0,0,0,0,0,
Royalton,Royalton,White River,0,0,0,0,1100,10.5,0,0,0,0,0,0,
Hartford,Hartford,White River,0,0,0,0,2200,10.5,0,0,0,0,0,0,
Chelsea,Chelsea,White River First Branch,350,9.1,0,0,0,0,0,0,0,0,0,0,
 Tunbridge, Tunbridge,White River First Branch,350,9.1,0,0,0,0,0,0,0,0,0,0,
Roxbury,Roxbury,White River Third Branch,500,9.1,0,0,0,0,0,0,0,0,0,0,
Randolph,Randolph,White River Third Branch,500,9.1,0,0,0,0,0,0,0,0,0,0,
Waterbury,Waterbury,Winooski River,0,0,0,0,500,16,0,0,175,17,0,0,
Duxbury,Waterbury,Winooski River,0,0,0,0,500,16,0,0,175,17,0,0,
Marshfield,Marshfield,Winooski River,250,9.1,0,0,0,0,0,0,0,0,0,0,
Plainfield,Plainfield,Winooski River,250,9.1,0,0,0,0,0,0,0,0,0,0,
Worcester,Worcester,Winooski River North Branch,400,9.1,0,0,0,0,0,0,0,0,0,0,
Plymouth,Plymouth,Woodward Reservoir,0,0,0,0,990,10.5,0,0,550,9,0,0,
Hyde Park,Hyde Park,Zack Woods-Perch Ponds,150,9.1,0,0,0,0,0,0,0,0,0,0,
